algorithm,seed,cost,start_cost,improvement_pct,vehicles,feasible,total_time_min,total_distance_km,congestion_delay_min,evaluations,elapsed_s,first_hit_iteration
qpso,101,1491.3495,1961.1573,23.956,8,true,1073.540,388.031,345.980,40000,0.7968,1943
qpso,102,1230.4494,1814.0318,32.170,8,true,869.340,315.103,278.526,40000,0.7990,1508
qpso,103,1587.8494,1978.0710,19.727,8,true,1149.160,416.922,367.428,40000,0.8021,1997
qpso,104,1678.6542,1983.7936,15.382,8,true,1220.030,438.063,398.642,40000,0.8011,1549
qpso,105,1375.3905,1933.7876,28.876,8,true,983.270,365.754,297.478,40000,0.8018,1939
qpso,106,1275.4481,1935.2075,34.092,8,true,904.710,330.685,284.652,40000,0.7981,1955
qpso,107,1232.3823,2004.1668,38.509,8,true,871.040,319.399,272.143,40000,0.7915,972
qpso,108,1235.9764,1960.5654,36.958,8,true,873.870,320.782,272.385,40000,0.7902,1158
qpso,109,1186.4194,2039.6316,41.832,8,true,835.200,309.435,255.006,40000,0.7917,951
qpso,110,1424.7067,2041.2938,30.206,8,true,1021.580,373.585,321.114,40000,0.7967,1343
qpso,111,1205.5224,2003.3057,39.823,8,true,850.400,319.945,250.500,40000,0.7896,1391
qpso,112,1295.1794,1890.1512,31.477,8,true,920.380,341.010,280.981,40000,0.7958,1203
qpso,113,1687.9877,1934.2472,12.732,8,true,1227.480,443.729,395.477,40000,0.8032,1828
qpso,114,1540.5773,1999.8439,22.965,8,true,1111.940,399.056,363.698,40000,0.8056,1980
qpso,115,1232.4542,1892.2040,34.867,8,true,871.420,326.256,259.687,40000,0.7938,1100
qpso,116,1230.4313,1878.5811,34.502,8,true,869.690,322.570,264.854,40000,0.7950,1311
qpso,117,1247.9268,1950.8160,36.031,8,true,883.360,326.958,270.293,40000,0.7974,1704
qpso,118,1327.8626,1953.7827,32.036,8,true,945.800,346.819,295.510,40000,0.7993,1480
qpso,119,1295.0583,1946.8217,33.478,8,true,920.070,336.565,289.019,40000,0.7936,888
qpso,120,1274.2816,1857.8157,31.410,8,true,904.020,335.116,275.679,40000,0.7921,1047
qpso,121,1309.2536,1873.9453,30.134,8,true,931.340,343.882,286.575,40000,0.7941,1757
qpso,122,1339.2591,2004.7923,33.197,8,true,954.800,351.551,295.612,40000,0.7964,1629
qpso,123,1339.1370,1995.3165,32.886,8,true,954.350,344.248,308.877,40000,0.7971,1368
qpso,124,1296.5177,1802.0641,28.054,8,true,921.420,341.136,281.766,40000,0.7924,1289
qpso,125,1311.1481,1987.0166,34.014,8,true,932.360,334.559,305.029,40000,0.7978,1827
qpso,126,1342.3968,1994.9944,32.712,8,true,957.240,352.199,296.858,40000,0.7963,1407
qpso,127,1374.5691,1897.8617,27.573,8,true,982.520,363.315,301.305,40000,0.8008,1780
qpso,128,1344.5688,1918.7754,29.926,8,true,958.930,352.553,297.874,40000,0.7981,1561
qpso,129,1418.9749,1846.0466,23.134,8,true,1016.960,369.231,324.665,40000,0.7999,1946
qpso,130,1303.3828,1888.9157,30.998,8,true,926.580,338.728,291.463,40000,0.8126,1318
pso,101,1236.9178,1913.7718,35.368,8,true,874.750,324.138,266.996,40000,0.5953,466
pso,102,1416.9868,1793.8155,21.007,8,true,1015.570,372.057,317.961,40000,0.5953,455
pso,103,1295.6609,1886.3595,31.314,8,true,920.750,340.967,281.425,40000,0.5965,463
pso,104,1348.1063,1920.7481,29.813,8,true,961.590,351.403,302.716,40000,0.5993,425
pso,105,1328.4314,1962.8372,32.321,8,true,946.370,349.554,290.948,40000,0.5958,397
pso,106,1237.9675,1905.0676,35.017,8,true,875.400,320.919,273.693,40000,0.5987,483
pso,107,1352.2861,1964.0226,31.147,8,true,964.910,353.549,302.005,40000,0.5947,494
pso,108,1428.6196,1921.6488,25.657,8,true,1024.710,375.991,319.714,40000,0.6000,289
pso,109,1369.0913,1797.8307,23.848,8,true,977.940,355.621,311.136,40000,0.5973,438
pso,110,1322.5949,1938.5835,31.775,8,true,941.640,344.689,295.368,40000,0.6003,482
pso,111,1321.8153,1854.5433,28.726,8,true,941.170,347.303,289.979,40000,0.5981,488
pso,112,1301.3022,1857.8906,29.958,8,true,925.040,339.854,287.784,40000,0.6225,442
pso,113,1392.2953,1926.2958,27.722,8,true,996.040,361.005,319.176,40000,0.6022,493
pso,114,1404.6249,1911.1430,26.503,8,true,1005.960,369.932,312.330,40000,0.5993,352
pso,115,1365.5067,1957.8439,30.255,8,true,975.030,352.522,314.052,40000,0.5989,478
